late	늦다	-	
thirty	삼십	-	
hotel	호텔	-	
a bit	좀	-	
sad	슬프다	-	
reason	이유	-	
mistake	실수	-	
why	왜	-	
leaves	떠나다	-	
pass; passed	지나가다	-	
hurry	급하게	-	
back	뒤쪽	-	
stand	서요	-	
waiting; wait	기다리다	-	
separate	따로	-	
doll	인형	-	
sorry	미안하다	-	
miss	그립다	-	
mood	기분	-	
elephant	코끼리	-	
compliment	칭찬하다	-	
untying; untie; unwrap	풀다	-	
why	왜요	-	
misunderstanding	오해	-	
purple	보라색	-	
later	나중	-	
to	한테	-	
middle school	중학교	-	
younger sibling	동생	-	
shoe	신발	-	
sportswear	운동복	-	
height	키	-	
junior	후배	-	
orange	주황색	-	
Wear	신다	-	
from	한테서	-	
sock	양말	-	
ring	반지	-	
cut; cuts	자르다	-	
salon	미용실	-	
recommendation	추천	-	
rule	규칙	-	
art	미술	-	
first	첫	-	
schedule	시간표	-	
scissors	가위	-	
occur/break out	나다	-	
cough	기침	-	
to	께	-	
news	소식	-	
citron tea	유자차	-	
throat	목	-	
favor	부탁	-	
telephone; phone; call; telephones	전화	-	
word	말씀	-	
sneeze	재채기	-	
mask	마스크	-	
explanation	설명	-	
cough drops	목캔디	-	
reservation	예약	-	
voice	목소리	-	
stop	그만	-	
app	어플	-	
self-introduction	자기소개	-	
experience	경험	-	
simple; are simple	간단하다	-	
boast	자랑	-	
joke	농담	-	
knitting	뜨개질	-	
profile	프로필	-	
young; is young	젊다	-	
much	훨씬	-	
appearance	모습	-	
popular	인기	-	
hope	희망	-	
quickly	어서	-	
plan	계획	-	
reply	답장	-	
happy	행복하게	-	
everything will be okay	잘 될거예요	-	
restaurant	레스토랑	-	
conversation	얘기	-	
steak	스테이크	-	
lunchtime	점심시간	-	
atmosphere	분위기	-	
Jihoon	지훈	-	
effort	노력	-	
advertise	광고	-	
blogger	블로거	-	
lie	거짓말	-	
vlog	브이로그	-	
broadcast	방송	-	
Paris	파리	-	
video	비디오	-	
champagne	샴페인	-	
French	불어	-	
answer	대답	-	
Tokyo; in Tokyo	도쿄	-	
live	생활	-	
always	언제나	-	
in advance	미리	-	
of course	당연하지	-	
Japanese	일본어	-	
worry	고민	-	
comparison	비교	-	
New York; in New York	뉴욕	-	
every year	매년	-	
musical	뮤지컬	-	
narrow; be narrow	좁다	-	
road	도로	-	
rome	로마	-	
forest	숲	-	
alone	혼자	-	
mind	마음	-	
anxious	불안	-	
go (sound)	고	-	
health	건강	-	
hungry	고프다	-	
bad	나쁘다	-	
dish	요리	-	
waist; back; hips	허리	-	
